time_id,hour,minute,second
0,0,0,0
1,0,0,1
2,0,0,2
3,0,0,3
4,0,0,4
5,0,0,5
6,0,0,6
7,0,0,7
8,0,0,8
9,0,0,9
10,0,0,10
11,0,0,11
12,0,0,12
13,0,0,13
14,0,0,14
15,0,0,15
16,0,0,16
17,0,0,17
18,0,0,18
19,0,0,19
20,0,0,20
21,0,0,21
22,0,0,22
23,0,0,23
24,0,0,24
25,0,0,25
26,0,0,26
27,0,0,27
28,0,0,28
29,0,0,29
30,0,0,30
31,0,0,31
32,0,0,32
33,0,0,33
34,0,0,34
35,0,0,35
36,0,0,36
37,0,0,37
38,0,0,38
39,0,0,39
40,0,0,40
41,0,0,41
42,0,0,42
43,0,0,43
44,0,0,44
45,0,0,45
46,0,0,46
47,0,0,47
48,0,0,48
49,0,0,49
50,0,0,50
51,0,0,51
52,0,0,52
53,0,0,53
54,0,0,54
55,0,0,55
56,0,0,56
57,0,0,57
58,0,0,58
59,0,0,59
60,0,1,0
61,0,1,1
62,0,1,2
63,0,1,3
64,0,1,4
65,0,1,5
66,0,1,6
67,0,1,7
68,0,1,8
69,0,1,9
70,0,1,10
71,0,1,11
72,0,1,12
73,0,1,13
74,0,1,14
75,0,1,15
76,0,1,16
77,0,1,17
78,0,1,18
79,0,1,19
80,0,1,20
81,0,1,21
82,0,1,22
83,0,1,23
84,0,1,24
85,0,1,25
86,0,1,26
87,0,1,27
88,0,1,28
89,0,1,29
90,0,1,30
91,0,1,31
92,0,1,32
93,0,1,33
94,0,1,34
95,0,1,35
96,0,1,36
97,0,1,37
98,0,1,38
99,0,1,39
100,0,1,40
101,0,1,41
102,0,1,42
103,0,1,43
104,0,1,44
105,0,1,45
106,0,1,46
107,0,1,47
108,0,1,48
109,0,1,49
110,0,1,50
111,0,1,51
112,0,1,52
113,0,1,53
114,0,1,54
115,0,1,55
116,0,1,56
117,0,1,57
118,0,1,58
119,0,1,59
120,0,2,0
121,0,2,1
122,0,2,2
123,0,2,3
124,0,2,4
125,0,2,5
126,0,2,6
127,0,2,7
128,0,2,8
129,0,2,9
130,0,2,10
131,0,2,11
132,0,2,12
133,0,2,13
134,0,2,14
135,0,2,15
136,0,2,16
137,0,2,17
138,0,2,18
139,0,2,19
140,0,2,20
141,0,2,21
142,0,2,22
143,0,2,23
144,0,2,24
145,0,2,25
146,0,2,26
147,0,2,27
148,0,2,28
149,0,2,29
150,0,2,30
151,0,2,31
152,0,2,32
153,0,2,33
154,0,2,34
155,0,2,35
156,0,2,36
157,0,2,37
158,0,2,38
159,0,2,39
160,0,2,40
161,0,2,41
162,0,2,42
163,0,2,43
164,0,2,44
165,0,2,45
166,0,2,46
167,0,2,47
168,0,2,48
169,0,2,49
170,0,2,50
171,0,2,51
172,0,2,52
173,0,2,53
174,0,2,54
175,0,2,55
176,0,2,56
177,0,2,57
178,0,2,58
179,0,2,59
180,0,3,0
181,0,3,1
182,0,3,2
183,0,3,3
184,0,3,4
185,0,3,5
186,0,3,6
187,0,3,7
188,0,3,8
189,0,3,9
190,0,3,10
191,0,3,11
192,0,3,12
193,0,3,13
194,0,3,14
195,0,3,15
196,0,3,16
197,0,3,17
198,0,3,18
199,0,3,19
200,0,3,20
201,0,3,21
202,0,3,22
203,0,3,23
204,0,3,24
205,0,3,25
206,0,3,26
207,0,3,27
208,0,3,28
209,0,3,29
210,0,3,30
211,0,3,31
212,0,3,32
213,0,3,33
214,0,3,34
215,0,3,35
216,0,3,36
217,0,3,37
218,0,3,38
219,0,3,39
220,0,3,40
221,0,3,41
222,0,3,42
223,0,3,43
224,0,3,44
225,0,3,45
226,0,3,46
227,0,3,47
228,0,3,48
229,0,3,49
230,0,3,50
231,0,3,51
232,0,3,52
233,0,3,53
234,0,3,54
235,0,3,55
236,0,3,56
237,0,3,57
238,0,3,58
